DB Item Name,DB Price,Current Xero Code,Matched Xero Code,Xero Name,Xero Price,Xero Account,Xero Status,Match Score,Price Match
"Double Chocolate Protein Bar 50g",3,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Drizzle Original Dressing 250ml",10.25,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Drizzle Original Dressing Large 500ml",15,,DRI000,"Drizzle - Original Dressing (500ml)",13.95,107,Archived,0.80,No
"Dry Nut Roasting Fee",0,RAW007,RAW007,"Dry Nut Roasting Fee",0,,Active,1.00,Yes
"Dry Roasted Organic Australian Almonds",0,RAW004,RAW004,"Dry Roasted Organic Australian Almonds",0,,Active,1.00,Yes
"Dry Sausage - Chilli 100g",7.25,,DJ011,"D.Jay's - Dry Sausage - Chilli (100g)",7.25,105.011,Active,0.80,Yes
"Dry Sausage - Traditional 100g",7.25,,DJ010,"D.Jay's - Dry Sausage - Traditional (100g)",7.25,105.01,Active,0.80,Yes
"Elderflower Syrup 500ml",10.02,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Elly's - Salted Caramel Bang (200g)",7.53,ELL001,ELL001,"Elly's - Salted Caramel Bang (200g)",7.53,101.001,Active,1.00,Yes
"Elly's - Salted Caramel POP (160g)",6.55,ELL003,ELL003,"Elly's - Salted Caramel POP (160g)",6.55,101.003,Active,1.00,Yes
"Elly's - Smokey Maple POP (160g)",6.55,ELL005,ELL005,"Elly's - Smokey Maple POP (160g)",6.55,101.005,Active,1.00,Yes
"Fig & Szechuan Pepper Jam 200g",6.81,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Five Grain Porridge 1kg",11.25,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Flip - Five-Grain Porridge (1kg)",67.5,FLIP004,FLIP004,"Flip - Five-Grain Porridge (1kg)",67.5,121.203,Active,1.00,Yes
"Flip - Fruit & Coconut Muesli (500g)",105,FLIP002,FLIP002,"Flip - Fruit & Coconut Muesli (500g)",105,121.201,Active,1.00,Yes
"Flip - Fruit, Nuts & Seeds Muesli (500g)",120,FLIP001,FLIP003,"Flip - Nuts & Seeds Muesli (500g)",135,121.202,Active,0.83,No
"Flip - Grain Free Natural Muesli (550g)",0,FLIP006,FLIP006,"Flip - Grain Free Natural Muesli (550g)",0,121.205,Active,1.00,Yes
"Flip - Honey Roasted Muesli Crumble (800g)",116.7,FLIP005,FLIP005,"Flip - Honey Roasted Muesli Crumble (800g)",116.7,121.204,Active,1.00,Yes
"Flip - Nuts & Seeds Muesli (500g)",135,FLIP003,FLIP003,"Flip - Nuts & Seeds Muesli (500g)",135,121.202,Active,1.00,Yes
"FodBods - Banana Peanut (50g)",36,FOD002,FOD002,"FodBods - Banana Peanut (50g)",36,126.0002,Active,1.00,Yes
"FodBods - Chocolate Fudge (55g)",39.6,FOD014,FOD014,"FodBods - Chocolate Fudge (55g)",39.6,126.0014,Active,1.00,Yes
"FodBods - Double Chocolate (50g)",36,FOD003,FOD003,"FodBods - Double Chocolate (50g)",36,126.0003,Active,1.00,Yes
"FodBods - Hazelnut Mocha (50g)",36,FOD004,FOD004,"FodBods - Hazelnut Mocha (50g)",36,126.0006,Active,1.00,Yes
"FodBods - Lemon Coconut (50g)",36,FOD001,FOD001,"FodBods - Lemon Coconut (50g)",36,126.0001,Active,1.00,Yes
"FodBods - Mint Chocolate (30g)",27.6,FOD006,FOD006,"FodBods - Mint Chocolate (30g)",27.6,126.0004,Active,1.00,Yes
"FodBods - Peanut Chocolate (50g)",36,FOD000,FOD000,"FodBods - Peanut Chocolate (50g)",36,126,Active,1.00,Yes
"FodBods - Raspberry Coconut (30g)",27.6,FOD005,FOD005,"FodBods - Raspberry Coconut (30g)",27.6,126.0005,Active,1.00,Yes
"FodBods - Salted Caramel (55g)",39.6,FOD015,FOD015,"FodBods - Salted Caramel (55g)",39.6,126.0015,Active,1.00,Yes
"Fox Pops Himalayan Salt 28g",2.65,,FOX000,"Fox Pops - Himalayan Salt (28g)",26.5,121,Archived,1.00,No
"Fox Pops Peanut Butter 28g",2.65,,FOX004,"Fox Pops - Peanut Butter (28g)",26.5,121.00004,Archived,1.00,No
"Fox Pops Salt & Vinegar 28g",2.65,,FOX002,"Fox Pops - Salt & Vinegar (28g)",26.5,121.00002,Archived,1.00,No
"Fox Pops Smoked Chilli 28g",2.65,,FOX001,"Fox Pops - Smoked Chilli (28g)",26.5,121.00001,Archived,1.00,No
"Fox Pops Sour Cream & Onion 28g",2.65,,FOX003,"Fox Pops - Sour Cream & Onion (28g)",26.5,121.00003,Archived,1.00,No
"Fruit Jerky 100g",6.21,,ANN007,"Annies - Fruit Jerky (100g)",87,109.008,Active,0.80,No
"Fruit Strips 90g",6.21,,ANN008,"Annies - Fruit Strips (90g)",87,109.007,Active,0.80,No
"Fusilli Pasta 500g",6,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Garlic Pickle Chips 675g",9.3,,DIL004,"Dillicious - Garlic Pickle - Chips (675g)",60,114.003,Active,0.80,No
"Garlic Pickle Halves 675g",9.3,,DIL001,"Dillicious - Garlic Pickle - Halves (675g)",60,114,Active,0.80,No
"Ginger Ale Syrup 500ml",10.02,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Ginger Shortbread 175g",4.62,,BUT001,"Butterfingers - Ginger Shortbread (175g)",50.91,124.0001,Active,0.80,No
"Gingerbread Cookie Double Chocolate 60g",3.1,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Gingerbread Cookie Funfetti 60g",3.1,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Gingerbread Cookie Original 60g",3.1,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Glo Health - Almond Butter (1kg)",17.5,GLO004,GLO004,"Glo Health - Almond Butter (1kg)",17.5,111.103,Active,1.00,Yes
"Glo Health - Almond Butter (250g)",8.25,GLO003,GLO003,"Glo Health - Almond Butter (250g)",8.25,111.102,Active,1.00,Yes
"Glo Health - Smooth Peanut Butter (1kg)",11.5,GLO002,GLO002,"Glo Health - Smooth Peanut Butter (1kg)",11.5,111.101,Active,1.00,Yes
"Glo Health - Smooth Peanut Butter (300g)",4.9,GLO001,GLO001,"Glo Health - Smooth Peanut Butter (300g)",4.9,111.1,Active,1.00,Yes
"Gnocchi Sardi Pasta 500g",6,,ISL012,"Island Pasta - Gnocchi Sardi (500g)",76.8,117.0012,Active,0.80,No
"Goldi - Aceto Balsamic Vinegar (250ml)",54,GOL003,GOL003,"Goldi - Aceto Balsamic Vinegar (250ml)",54,105,Active,1.00,Yes
"Goldi - Smooth EVOO Tin (3L)",178.5,GOL007,GOL007,"Goldi - Smooth EVOO Tin (3L)",178.5,105.0004,Active,1.00,Yes
"Green Tea w Pitaya 250ml",2.85,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Happy Apple - Almond Butter (1kg)",19,HAP007,HAP007,"Happy Apple - Almond Butter (1kg)",19,111.006,Active,1.00,Yes
"Happy Apple - Cashew Butter (250g)",6.9,HAP009,HAP009,"Happy Apple - Cashew Butter (250g)",6.9,111.008,Active,1.00,Yes
"Happy Apple - Crunchy Peanut Butter (1kg)",13.03,HAP002,HAP002,"Happy Apple - Crunchy Peanut Butter (1kg)",13.03,111.001,Active,1.00,Yes
"Happy Apple - Smooth Peanut Butter (1kg)",13.03,HAP004,HAP004,"Happy Apple - Smooth Peanut Butter (1kg)",13.03,111.003,Active,1.00,Yes
"Happy Apple - Smooth Peanut Butter (375g)",4.75,HAP003,HAP003,"Happy Apple - Smooth Peanut Butter (375g)",4.75,111.002,Active,1.00,Yes
"Hazelnut - Dry Roasted",0,RAW043,RAW043,"Hazelnut - Dry Roasted",0,,Active,1.00,Yes
"Hazelnut - Raw",24.95,RAW078,RAW078,"Hazelnut - Raw",24.95,112.014,Active,1.00,Yes
"Hazelnut - Roasted 250g",8.35,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Hazelnut Mocha Protein Bar 50g",3,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Hibiscus Syrup 500ml",10.02,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Honey-Roasted Muesli Crumble 800g",25,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Hot Chilli Sauce 250ml",7.08,,CP012,"Crunch - Hot Chilli Sauce (250ml)",42.5,103.004,Active,0.80,No
"IM-270-2050-FL - 270ml Std Flint Glass PGP (RN)",0,RAW010,RAW010,"IM-270-2050-FL - 270ml Std Flint Glass PGP (RN)",0,,Active,1.00,Yes
"Island Pasta - Beetroot Fusilli (500g)",80.04,ISL005,ISL005,"Island Pasta - Beetroot Fusilli (500g)",80.04,117.0005,Active,1.00,Yes
"Island Pasta - Black Pipe Rigate (500g)",80.04,ISL023,ISL023,"Island Pasta - Black Pipe Rigate (500g)",80.04,117.0023,Active,1.00,Yes
"Island Pasta - Cacio e Pepe (375g)",84,ISL017,ISL017,"Island Pasta - Cacio e Pepe (375g)",84,117.0017,Active,1.00,Yes
"Island Pasta - Calamarata No.25 (400g)",76.8,ISL028,ISL028,"Island Pasta - Calamarata No.25 (400g)",76.8,117.02,Active,1.00,Yes
"Island Pasta - Casarecce (500g)",76.8,ISL003,ISL003,"Island Pasta - Casarecce (500g)",76.8,117.0003,Active,1.00,Yes
"Island Pasta - Conchiglie (500g)",76.8,ISL016,ISL016,"Island Pasta - Conchiglie (500g)",76.8,117.0016,Active,1.00,Yes
"Island Pasta - Fusilli (500g)",76.8,ISL011,ISL011,"Island Pasta - Fusilli (500g)",76.8,117.0011,Active,1.00,Yes
"Island Pasta - Fusilloni Rigati No.19 (400g)",76.8,ISL025,ISL025,"Island Pasta - Fusilloni Rigati No.19 (400g)",76.8,117.0025,Active,1.00,Yes
"Island Pasta - Gnocchi Sardi (500g)",76.8,ISL012,ISL012,"Island Pasta - Gnocchi Sardi (500g)",76.8,117.0012,Active,1.00,Yes
"Island Pasta - Mezzi Rigatoni (500g)",76.8,ISL002,ISL002,"Island Pasta - Mezzi Rigatoni (500g)",76.8,117.0002,Active,1.00,Yes
"Island Pasta - Orecchiette (500g)",76.8,ISL014,ISL014,"Island Pasta - Orecchiette (500g)",76.8,117.0014,Active,1.00,Yes
"Island Pasta - Pappardelle (320g)",76.8,ISL000,ISL000,"Island Pasta - Pappardelle (320g)",76.8,117,Active,1.00,Yes
"Island Pasta - Penne Rigate (500g)",76.8,ISL013,ISL013,"Island Pasta - Penne Rigate (500g)",76.8,117.0013,Active,1.00,Yes
"Island Pasta - Puttanesca (500g)",52.5,ISL020,ISL020,"Island Pasta - Puttanesca (500g)",52.5,117.002,Active,1.00,Yes
"Island Pasta - Salsa Bolognese (500g)",84,ISL019,ISL019,"Island Pasta - Salsa Bolognese (500g)",84,117.0019,Active,1.00,Yes
"Island Pasta - Salsa Di Pomodoro (500g)",52.5,ISL018,ISL018,"Island Pasta - Salsa Di Pomodoro (500g)",52.5,117.0018,Active,1.00,Yes
"Island Pasta - Spinach Conchiglie  (500g)",80.04,ISL010,ISL010,"Island Pasta - Spinach Conchiglie  (500g)",80.04,117.001,Active,1.00,Yes
"Island Pasta - Spinach Tagliatelle (320g)",80.04,ISL009,ISL009,"Island Pasta - Spinach Tagliatelle (320g)",80.04,117.0009,Active,1.00,Yes
"Island Pasta - Squid Ink Tagliolini (320g)",80.04,ISL008,ISL008,"Island Pasta - Squid Ink Tagliolini (320g)",80.04,117.0008,Active,1.00,Yes
"Island Pasta - Sugo ai Piselli (500g)",52.5,ISL021,ISL021,"Island Pasta - Sugo ai Piselli (500g)",52.5,117.0021,Active,1.00,Yes
"Island Pasta - Tagliatelle (320g)",76.8,ISL001,ISL001,"Island Pasta - Tagliatelle (320g)",76.8,117.0001,Active,1.00,Yes
"Island Pasta - Tagliolini (320g)",76.8,ISL006,ISL006,"Island Pasta - Tagliolini (320g)",76.8,117.0006,Active,1.00,Yes
"Island Pasta - Torchietti (500g)",76.8,ISL004,ISL004,"Island Pasta - Torchietti (500g)",76.8,117.0004,Active,1.00,Yes
"Island Pasta - Treccioni Rigati (400g)",76.8,ISL026,ISL026,"Island Pasta - Treccioni Rigati (400g)",76.8,117.0026,Active,1.00,Yes
"Island Pasta - Trottole (500g)",76.8,ISL007,ISL007,"Island Pasta - Trottole (500g)",76.8,117.0007,Active,1.00,Yes
"Jalapeno Jitman Hot Sauce 250ml",11.85,,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Jalapeno Relish 200g",6.81,,CP004,"Crunch - Jalapeno Relish (200g)",40.85,103.019,Active,0.80,No
"K9 Katering - Beef Jerky (150g)",85.62,K9019,K9019,"K9 Katering - Beef Jerky (150g)",85.62,106.119,Active,1.00,Yes
"K9 Katering - Beef Liver (150g)",70.02,K9000,K9000,"K9 Katering - Beef Liver (150g)",70.02,106.1,Active,1.00,Yes
"K9 Katering - Beef Paddywack (200g)",85.62,K9007,K9007,"K9 Katering - Beef Paddywack (200g)",85.62,106.107,Active,1.00,Yes
"K9 Katering - Beef Puff Steak (75g)",70.02,K9011,K9011,"K9 Katering - Beef Puff Steak (75g)",70.02,106.111,Active,1.00,Yes
"K9 Katering - Chicken Breast Jerky (150g)",97.33,K9006,K9006,"K9 Katering - Chicken Breast Jerky (150g)",97.325,106.106,Active,1.00,Yes
"K9 Katering - Chicken Magic Meal Topper (100g)",70.02,K9051,K9051,"K9 Katering - Chicken Magic Meal Topper (100g)",70.02,106.151,Active,1.00,Yes
"K9 Katering - Chicken Necks (150g)",70.02,K9001,K9001,"K9 Katering - Chicken Necks (150g)",70.02,106.101,Active,1.00,Yes
"K9 Katering - Chicken Wing Tips (200g)",58.32,K9010,K9010,"K9 Katering - Chicken Wing Tips (200g)",58.32,106.11,Active,1.00,Yes
"K9 Katering - Duck Feet (150g)",58.32,K9008,K9008,"K9 Katering - Duck Feet (150g)",58.32,106.108,Active,1.00,Yes
"K9 Katering - Duck Hearts (200g)",85.62,K9050,K9050,"K9 Katering - Duck Hearts (200g)",85.62,106.121,Active,1.00,Yes
"K9 Katering - Duck Jerky (150g)",97.32,K9025,K9025,"K9 Katering - Duck Jerky (150g)",97.32,106.125,Active,1.00,Yes
"K9 Katering - Emu Jerky (150g)",97.32,K9013,K9013,"K9 Katering - Emu Jerky (150g)",97.32,106.113,Active,1.00,Yes
"K9 Katering - Fish Jerky (125g)",70.02,K9049,K9049,"K9 Katering - Fish Jerky (125g)",70.02,106.149,Active,1.00,Yes
"K9 Katering - Kangaroo Jerky (150g)",85.62,K9003,K9003,"K9 Katering - Kangaroo Jerky (150g)",85.62,106.103,Active,1.00,Yes
"K9 Katering - Kangaroo Tendons (150g)",97.32,K9015,K9015,"K9 Katering - Kangaroo Tendons (150g)",97.32,106.103,Active,1.00,Yes
"K9 Katering - Kelp Seaweed Topper (150g)",58.32,K9046,K9046,"K9 Katering - Kelp Seaweed Topper (150g)",58.32,106.146,Active,1.00,Yes
"K9 Katering - Lamb Liver (150g)",70.02,K9027,K9027,"K9 Katering - Lamb Liver (150g)",70.02,106.127,Active,1.00,Yes
"K9 Katering - Lamb Puff Steak (75g)",70.02,K9028,K9028,"K9 Katering - Lamb Puff Steak (75g)",70.02,106.128,Active,1.00,Yes
